stage,id,sub_id,question,judgement,rule,jump,type
1,1,1.1.1,您個人平均年薪為：_______萬(請填入正整數),"{""A"":""A1"",""B"":""B1"",""C"":""C1""}","[{""nlp"":[False],""check"":[""null""]}]",1.2.1,num
1,2,1.2.1,目前擁有的貸款狀況為?,"{""A"":""無"",""B"":""100萬（含）以下"",""C"":""100-200萬（含）"",""D"":""200-500萬（含）"",""E"":""500萬（含）以上""}","[{""nlp"":[False],""check"":[""null""]}]",1.3.1,choice
1,3,1.3.1,每個月固定支出(償債、生活花費、娛樂等)金額佔所得的佔比：,"{""A"":""A3"",""B"":""B3"",""C"":""C3""}","[{""nlp"":[False],""check"":[""1.2.1,1.3.1,sum,=,100""]}]",1.3.2,num
1,4,1.3.2,每個月希望花收入的多少比例在投資：,"{""A"":""A3"",""B"":""B3"",""C"":""C3""}","[{""nlp"":[False],""check"":[""1.2.1,1.3.1,sum,=,100""]}]",1.4.1,num
1,5,1.4.1,每個月平均娛樂費用（出遊/看電影/買衣服鞋子等）佔所得比例：,,"{""A"":""小於10%"",""B"":""10-30%"",""C"":""30-50%"",""D"":""50-70%"",""E"":""70%以上""}",1.5.1,choice
1,6,1.5.1,近期花費金額最高的非固定支出金額為______元,,"{""A"":""1000元以下"",""B"":""1000元(含)~5000元"",""C"":""5000元(含)~5萬元"",""D"":""5萬元~50萬元"",""E"":""50萬元以上""}",2.1.1,choice
2,1,2.1.1,投資目標,,,2.2.1,blank
2,2,2.2.1,過去曾投資過嗎,,"{""A"":""無"",""B"":""有""}",2.2.2,choice
2,3,2.2.2,投資的方式是哪些呢？,,"{""A"":""定存"",""B"":""債券"",""C"":""基金"",""D"":""股票"",""E"":""衍生性金融商品""}",2.3.1,choice
2,4,2.3.1,請選擇下列較符合你自身習慣/偏好的敘述,,"{""A"":""覺得關注新聞股市及其他投資市場概況很花時間，自己並不想花費心力"",""B"":""偶爾會關注市場狀況、重要股市新聞"",""C"":""平時就頻繁在關注國際新聞、股市與其他投資市場概況，認為這樣投資比較安心""}",2.4.1,choice
2,5,2.4.1,希望＿＿＿＿年可以回收這樣的報酬（請填入數字：1-10）,,,3.1.1,num
3,1,3.1.1,選擇最適合你的投資策略:(下列選項風險由高至低),,"{""A"":""積極成長型：追求最大的資本利得/利潤"",""B"":""成長型：追求穩定的成長，追求增值與保值"",""C"":""平衡型：追求資金的成長與穩定的收益"",""D"":""收益型：追求定期的收益"",""E"":""固定收益型：追求穩定的收益""}",3.2.1,choice
3,2,3.2.1,期望領取固定配息嗎？,,"{""A"":""是"",""B"":""不是""}",3.3.1,choice
3,3,3.3.1,配息頻率偏好:,,"{""A"":""月配"",""B"":""季配"",""C"":""年配""}",3.4.1,choice
3,4,3.4.1,當市場有波動而虧損可能採取的處理方式:,,"{""A"":""全部賣出"",""B"":""部分賣出"",""C"":""不賣出"",""D"":""小部分低檔買進"",""E"":""大手筆低檔買進""}",3.5.1,choice
3,5,3.5.1,當市場有波動而有利潤時你可能採取的處理模式:,,"{""A"":""全部賣出"",""B"":""部分賣出"",""C"":""不賣出"",""D"":""加碼買進等待日後繼續漲""}",3.6.1,choice
3,6,3.6.1,重視風險比例：＿＿＿＿＿％,,,4.1.1,num
4,1,4.1.1,有一檔量化金融程式，在兩年的封閉測試中通過2倍杠桿複利獲得了2000%以上的收益，期間最大回撤為20%。使用它的時候提供的杠桿有一倍，二倍和三倍。如果您要用，請問您會選擇幾倍杠桿？（提示：杠桿倍數會成比例放大收益和回撤）,,"{""A"":""一倍"",""B"":""二倍"",""C"":""三倍""}",end,choice
